Ind_Ext,Force_Ext
-1.21e-05,5.04e-12
-1.21e-05,1.66e-11
-1.21e-05,2.36e-11
-1.21e-05,3.16e-11
-1.21e-05,3.7e-11
-1.21e-05,4.29e-11
-1.21e-05,4.86e-11
-1.21e-05,5.39e-11
-1.21e-05,5.86e-11
-1.21e-05,6.44e-11
-1.21e-05,7.02e-11
-1.2e-05,7.51e-11
-1.2e-05,7.98e-11
-1.2e-05,8.47e-11
-1.2e-05,8.98e-11
-1.2e-05,9.44e-11
-1.2e-05,9.85e-11
-1.2e-05,1.05e-10
-1.2e-05,1.09e-10
-1.2e-05,1.13e-10
-1.2e-05,1.17e-10
-1.2e-05,1.22e-10
-1.19e-05,1.27e-10
-1.19e-05,1.31e-10
-1.19e-05,1.35e-10
-1.19e-05,1.38e-10
-1.19e-05,1.44e-10
-1.19e-05,1.48e-10
-1.19e-05,1.53e-10
-1.19e-05,1.57e-10
-1.19e-05,1.6e-10
-1.19e-05,1.66e-10
-1.19e-05,1.69e-10
-1.18e-05,1.73e-10
-1.18e-05,1.77e-10
-1.18e-05,1.81e-10
-1.18e-05,1.84e-10
-1.18e-05,1.87e-10
-1.18e-05,1.92e-10
-1.18e-05,1.95e-10
-1.18e-05,1.99e-10
-1.18e-05,2.01e-10
-1.18e-05,2.06e-10
-1.17e-05,2.1e-10
-1.17e-05,2.12e-10
-1.17e-05,2.14e-10
-1.17e-05,2.17e-10
-1.17e-05,2.21e-10
-1.17e-05,2.24e-10
-1.17e-05,2.28e-10
-1.17e-05,2.31e-10
-1.17e-05,2.36e-10
-1.17e-05,2.4e-10
-1.16e-05,2.43e-10
-1.16e-05,2.46e-10
-1.16e-05,2.48e-10
-1.16e-05,2.52e-10
-1.16e-05,2.55e-10
-1.16e-05,2.6e-10
-1.16e-05,2.63e-10
-1.16e-05,2.66e-10
-1.16e-05,2.71e-10
-1.16e-05,2.74e-10
-1.15e-05,2.78e-10
-1.15e-05,2.8e-10
-1.15e-05,2.85e-10
-1.15e-05,2.88e-10
-1.15e-05,2.91e-10
-1.15e-05,2.95e-10
-1.15e-05,2.98e-10
-1.15e-05,3.02e-10
-1.15e-05,3.03e-10
-1.14e-05,3.06e-10
-1.14e-05,3.09e-10
-1.14e-05,3.14e-10
-1.14e-05,3.16e-10
-1.14e-05,3.18e-10
-1.14e-05,3.2e-10
-1.14e-05,3.21e-10
-1.14e-05,3.25e-10
-1.14e-05,3.26e-10
-1.13e-05,3.25e-10
-1.13e-05,3.24e-10
-1.13e-05,3.24e-10
-1.13e-05,3.23e-10
-1.13e-05,3.23e-10
-1.13e-05,3.26e-10
-1.13e-05,3.29e-10
-1.13e-05,3.29e-10
-1.12e-05,3.28e-10
-1.12e-05,3.28e-10
-1.12e-05,3.28e-10
-1.12e-05,3.26e-10
-1.12e-05,3.29e-10
-1.12e-05,3.31e-10
-1.12e-05,3.33e-10
-1.12e-05,3.35e-10
-1.11e-05,3.38e-10
-1.11e-05,3.39e-10
-1.11e-05,3.42e-10
-1.11e-05,3.45e-10
-1.11e-05,3.47e-10
-1.11e-05,3.51e-10
-1.11e-05,3.53e-10
-1.11e-05,3.57e-10
-1.1e-05,3.56e-10
-1.1e-05,3.58e-10
-1.1e-05,3.61e-10
-1.1e-05,3.64e-10
-1.1e-05,3.68e-10
-1.1e-05,3.72e-10
-1.1e-05,3.76e-10
-1.1e-05,3.8e-10
-1.09e-05,3.84e-10
-1.09e-05,3.87e-10
-1.09e-05,3.9e-10
-1.09e-05,3.95e-10
-1.09e-05,3.99e-10
-1.09e-05,4.05e-10
-1.09e-05,4.09e-10
-1.09e-05,4.12e-10
-1.08e-05,4.14e-10
-1.08e-05,4.2e-10
-1.08e-05,4.24e-10
-1.08e-05,4.27e-10
-1.08e-05,4.3e-10
-1.08e-05,4.33e-10
-1.08e-05,4.38e-10
-1.07e-05,4.34e-10
-1.07e-05,4.3e-10
-1.07e-05,4.29e-10
-1.07e-05,4.28e-10
-1.07e-05,4.25e-10
-1.07e-05,4.21e-10
-1.07e-05,4.24e-10
-1.06e-05,4.23e-10
-1.06e-05,4.21e-10
-1.06e-05,4.17e-10
-1.06e-05,4.18e-10
-1.06e-05,4.2e-10
-1.06e-05,4.22e-10
-1.06e-05,4.25e-10
-1.05e-05,4.26e-10
-1.05e-05,4.23e-10
-1.05e-05,4.15e-10
-1.05e-05,4.14e-10
-1.05e-05,4.15e-10
-1.05e-05,4.15e-10
-1.05e-05,4.18e-10
-1.04e-05,4.19e-10
-1.04e-05,4.2e-10
-1.04e-05,4.21e-10
-1.04e-05,4.23e-10
-1.04e-05,4.23e-10
-1.04e-05,4.25e-10
-1.04e-05,4.26e-10
-1.03e-05,4.22e-10
-1.03e-05,4.18e-10
-1.03e-05,4.16e-10
-1.03e-05,4.18e-10
-1.03e-05,4.19e-10
-1.03e-05,4.2e-10
-1.02e-05,4.2e-10
-1.02e-05,4.17e-10
-1.02e-05,4.19e-10
-1.02e-05,4.18e-10
-1.02e-05,4.17e-10
-1.02e-05,4.15e-10
-1.02e-05,4.15e-10
-1.01e-05,4.15e-10
-1.01e-05,4.1e-10
-1.01e-05,4.07e-10
-1.01e-05,4.09e-10
-1.01e-05,4.13e-10
-1.01e-05,4.1e-10
-1e-05,4.05e-10
-1e-05,4.02e-10
-1e-05,4.01e-10
-9.99e-06,3.98e-10
-9.97e-06,3.98e-10
-9.96e-06,4e-10
-9.94e-06,4e-10
-9.92e-06,4.02e-10
-9.91e-06,4.02e-10
-9.89e-06,4.01e-10
-9.87e-06,3.78e-10
-9.85e-06,3.61e-10
-9.84e-06,3.25e-10
-9.81e-06,7.32e-11
-9.79e-06,1.43e-11
-9.77e-06,3.16e-12
-9.76e-06,7.89e-12
-9.74e-06,1.05e-11
-9.72e-06,1.45e-11
-9.71e-06,2.24e-11
-9.69e-06,2.62e-11
-9.67e-06,3.49e-11
-9.65e-06,4.11e-11
-9.64e-06,4.76e-11
-9.62e-06,5.45e-11
-9.6e-06,6.13e-11
-9.59e-06,6.61e-11
-9.57e-06,6.87e-11
-9.55e-06,6.79e-11
-9.53e-06,6.09e-11
-9.52e-06,5.26e-11
-9.5e-06,4.72e-11
-9.48e-06,4.78e-11
-9.46e-06,5.23e-11
-9.44e-06,5.66e-11
-9.43e-06,6.28e-11
-9.41e-06,6.62e-11
-9.39e-06,7.02e-11
-9.37e-06,7.28e-11
-9.36e-06,7.63e-11
-9.34e-06,8.07e-11
-9.32e-06,8.42e-11
-9.3e-06,8.72e-11
-9.28e-06,8.8e-11
-9.27e-06,8.72e-11
-9.25e-06,8.69e-11
-9.23e-06,8.94e-11
-9.21e-06,9.22e-11
-9.19e-06,9.56e-11
-9.17e-06,9.76e-11
-9.16e-06,9.24e-11
-9.14e-06,9.08e-11
-9.12e-06,9.05e-11
-9.1e-06,9.45e-11
-9.08e-06,9.88e-11
-9.06e-06,1.05e-10
-9.05e-06,1.1e-10
-9.03e-06,1.17e-10
-9.01e-06,1.25e-10
-8.99e-06,1.33e-10
-8.97e-06,1.45e-10
-8.95e-06,1.53e-10
-8.93e-06,1.63e-10
-8.92e-06,1.73e-10
-8.9e-06,1.82e-10
-8.88e-06,1.94e-10
-8.86e-06,2.01e-10
-8.84e-06,2.12e-10
-8.82e-06,2.2e-10
-8.8e-06,2.31e-10
-8.78e-06,2.4e-10
-8.77e-06,2.49e-10
-8.75e-06,2.6e-10
-8.73e-06,2.68e-10
-8.71e-06,2.78e-10
-8.69e-06,2.85e-10
-8.67e-06,2.95e-10
-8.65e-06,3.03e-10
-8.63e-06,3.15e-10
-8.61e-06,3.23e-10
-8.59e-06,3.33e-10
-8.58e-06,3.44e-10
-8.56e-06,3.55e-10
-8.54e-06,3.65e-10
-8.52e-06,3.74e-10
-8.5e-06,3.86e-10
-8.48e-06,3.93e-10
-8.46e-06,4.04e-10
-8.44e-06,4.12e-10
-8.42e-06,4.22e-10
-8.4e-06,4.32e-10
-8.38e-06,4.38e-10
-8.36e-06,4.48e-10
-8.34e-06,4.56e-10
-8.32e-06,4.66e-10
-8.3e-06,4.75e-10
-8.28e-06,4.84e-10
-8.26e-06,4.93e-10
-8.24e-06,4.99e-10
-8.22e-06,5.09e-10
-8.2e-06,5.15e-10
-8.18e-06,5.23e-10
-8.16e-06,5.27e-10
-8.14e-06,5.34e-10
-8.12e-06,5.4e-10
-8.1e-06,5.47e-10
-8.08e-06,5.56e-10
-8.06e-06,5.64e-10
-8.05e-06,5.73e-10
-8.02e-06,5.78e-10
-8e-06,5.87e-10
-7.98e-06,5.96e-10
-7.96e-06,6.03e-10
-7.94e-06,6.13e-10
-7.92e-06,6.21e-10
-7.9e-06,6.3e-10
-7.88e-06,6.35e-10
-7.86e-06,6.42e-10
-7.84e-06,6.48e-10
-7.82e-06,6.56e-10
-7.8e-06,6.63e-10
-7.78e-06,6.68e-10
-7.76e-06,6.74e-10
-7.74e-06,6.8e-10
-7.72e-06,6.82e-10
-7.7e-06,6.78e-10
-7.68e-06,6.71e-10
-7.66e-06,6.69e-10
-7.64e-06,6.74e-10
-7.62e-06,6.8e-10
-7.6e-06,6.87e-10
-7.58e-06,6.95e-10
-7.56e-06,7.01e-10
-7.54e-06,7.08e-10
-7.52e-06,7.16e-10
-7.5e-06,7.23e-10
-7.47e-06,7.29e-10
-7.45e-06,7.37e-10
-7.43e-06,7.47e-10
-7.41e-06,7.52e-10
-7.39e-06,7.58e-10
-7.37e-06,7.62e-10
-7.35e-06,7.69e-10
-7.33e-06,7.7e-10
-7.31e-06,7.66e-10
-7.29e-06,7.64e-10
-7.27e-06,7.66e-10
-7.25e-06,7.75e-10
-7.23e-06,7.8e-10
-7.2e-06,7.89e-10
-7.18e-06,7.97e-10
-7.16e-06,8.05e-10
-7.14e-06,8.15e-10
-7.12e-06,8.22e-10
-7.1e-06,8.33e-10
-7.08e-06,8.42e-10
-7.06e-06,8.51e-10
-7.04e-06,8.6e-10
-7.02e-06,8.69e-10
-7e-06,8.77e-10
-6.98e-06,8.85e-10
-6.95e-06,8.97e-10
-6.93e-06,9.05e-10
-6.91e-06,9.15e-10
-6.89e-06,9.26e-10
